user_id,f_name,l_name,gmail,aud,gender,income
FDF676FD-8872-4660-AF62-237C538F4DC1,Uriah,Conley,Uriah.Conley@gmail.com,A,M,A
BB4EAF11-0266-A2ED-5DB0-09F7966F2465,Elvis,Valencia,Elvis.Valencia@gmail.com,B,M,D
1B44AA2A-89BC-E3D8-11A3-963835DDD207,Quentin,Hoover,Quentin.Hoover@gmail.com,C,M,D
75701703-F1AF-5A30-51DD-3D8E60FD25AC,George,Rosa,George.Rosa@gmail.com,A,M,B
60780DED-9598-8268-34BE-7A61E6CE3002,Forrest,Newman,Forrest.Newman@gmail.com,B,M,B
3BD346BF-0ECC-D714-B75F-0C1FFFECEFCD,Vincent,Hoffman,Vincent.Hoffman@gmail.com,C,M,D
23447021-C951-AC4D-6323-AFD14F1BE0EC,Rashad,Blackburn,Rashad.Blackburn@gmail.com,A,M,D
77BDE742-F538-4FDE-5D04-F1AA01FDB365,Russell,Farrell,Russell.Farrell@gmail.com,B,M,A
D6FB1DB7-2550-6A81-998F-90C917A5E35A,Wesley,Wolf,Wesley.Wolf@gmail.com,C,M,D
FA5A37D6-FBCC-5389-2749-81B34D6A8631,Graham,Knowles,Graham.Knowles@gmail.com,A,M,A
136804C1-6DA1-CF79-EAD2-967ED09D0CDB,Lester,Holcomb,Lester.Holcomb@gmail.com,B,M,A
0626878C-E599-ABD8-C346-473F117646DE,Rigel,Pruitt,Rigel.Pruitt@gmail.com,C,M,D
73E2DE80-E1AF-4D91-E1C5-19A20E151FE8,Norman,Lang,Norman.Lang@gmail.com,A,M,B
AD4E5E7B-4A75-2698-92D1-4AC94AE05221,Randall,Meyer,Randall.Meyer@gmail.com,B,M,C
5AC9C3EF-8872-F191-4C2E-155174D07145,Nolan,Solis,Nolan.Solis@gmail.com,C,M,D
F6EDE4A5-2617-9FEC-EBE6-1FA0D3EEE6B6,Jarrod,Zamora,Jarrod.Zamora@gmail.com,A,M,D
CEF8A7D3-A95D-3CCF-38B4-79626EBC95C6,Mohammad,Barlow,Mohammad.Barlow@gmail.com,B,M,D
5B3060D8-2B73-9CD3-E8CA-6895CC1AAF35,Nathaniel,Bond,Nathaniel.Bond@gmail.com,C,M,A
86EACFED-2A94-5FD4-1CA7-1B4D8755C39F,Joshua,Oneil,Joshua.Oneil@gmail.com,A,M,C
B38764EE-738A-B6C5-1B68-8E7998FCB3B3,Neville,Glenn,Neville.Glenn@gmail.com,B,M,D
8B8117C1-0520-99A6-ECB7-06622E1AA234,Devin,Crosby,Devin.Crosby@gmail.com,C,M,D
203A7E4D-9DED-9290-D11F-A58F9D76EE5F,Emmanuel,Willis,Emmanuel.Willis@gmail.com,A,M,D
9CF3F732-62E1-CB1B-CC2C-1B4BCF6CDB5D,Zahir,Sawyer,Zahir.Sawyer@gmail.com,B,M,A
E91A94CF-BCED-7F17-0312-BADD0340C4BE,Cairo,Jacobson,Cairo.Jacobson@gmail.com,C,M,A
E206AB4C-7DE5-A252-540E-74873039AFF5,Victor,Vega,Victor.Vega@gmail.com,A,M,A
C1A3D8F7-D039-8092-71FD-E35944CFF86D,James,Ford,James.Ford@gmail.com,B,M,C
F9E951D3-DF19-EACF-0CAD-1E382773CC36,Arsenio,Hahn,Arsenio.Hahn@gmail.com,C,M,A
D7DC80C7-5039-F4FA-A0E6-C4A406DCFA76,Neville,Bender,Neville.Bender@gmail.com,A,M,C
80AD6278-888B-F719-30D7-38CC02FF93DA,Gary,Black,Gary.Black@gmail.com,B,M,B
463B3E86-AFB4-1E42-2A28-D2D37C426826,Fitzgerald,Conley,Fitzgerald.Conley@gmail.com,C,M,C
F0E47C2B-FD8A-D1EF-4EE3-8849AC2D9930,Ciaran,Macias,Ciaran.Macias@gmail.com,A,M,C
08CAC555-8712-40D0-9964-2D258AAAB94D,Charles,Weaver,Charles.Weaver@gmail.com,B,M,D
79D56252-5B1C-9159-B024-D247A381B6A6,Chadwick,Franks,Chadwick.Franks@gmail.com,C,M,B
D7D73FB5-C920-57D0-BF28-EB308B2243E4,Malcolm,Leon,Malcolm.Leon@gmail.com,A,M,D
CE47D478-75F3-605D-BC29-4EA65195C803,Amal,Bowen,Amal.Bowen@gmail.com,B,M,A
378CAC2F-F159-9C96-C4EE-F144B179F4F9,David,Guerra,David.Guerra@gmail.com,C,M,A
8BB3BEDD-C8FB-8189-7B76-4D7DEEAE1008,Xenos,Wyatt,Xenos.Wyatt@gmail.com,A,M,A
C0A168EC-016D-E66A-2D03-41EC112795C7,Uriel,Mcbride,Uriel.Mcbride@gmail.com,B,M,D
D8F3E793-A850-14D1-CC74-A5416009C373,Wing,Fletcher,Wing.Fletcher@gmail.com,C,M,C
8FD25C08-6E23-7BA9-46B0-CF48E406E806,Michael,Delaney,Michael.Delaney@gmail.com,A,M,B
508061D6-4172-239C-AEBB-83462E374217,Jin,Parrish,Jin.Parrish@gmail.com,B,M,D
FD428DDD-0AC6-6D55-F922-C16341FEC187,Mark,Campos,Mark.Campos@gmail.com,C,M,B
A819AE12-9747-7753-B84F-8CF83DB3A4DB,Harding,Anthony,Harding.Anthony@gmail.com,A,M,B
553A051D-00DD-637C-CCD4-19B68325C1D1,Aaron,Joseph,Aaron.Joseph@gmail.com,B,M,D
D70B1729-1574-23B1-6528-3A175FCD43AC,Zeus,Richardson,Zeus.Richardson@gmail.com,C,M,C
29F3AE47-9B31-F2BE-ACB5-DF0A424E4F93,Vaughan,Vega,Vaughan.Vega@gmail.com,A,M,D
A201AF45-6DB8-72A2-3CD0-AF8300CD1651,Lyle,Castillo,Lyle.Castillo@gmail.com,B,M,D
FA30F6F9-C082-DAB7-B6A8-18730D7DD438,Gareth,Curry,Gareth.Curry@gmail.com,C,M,D
4F0970FE-A2B9-B5C5-3BD5-A75166CEA95C,Declan,Conner,Declan.Conner@gmail.com,A,M,D
EA7A96E0-198E-C657-4EA5-49A7BE67104F,Mohammad,Allen,Mohammad.Allen@gmail.com,B,M,A
31B1C0B7-18A3-03CD-D16E-81637F6E224B,Jackson,Bryant,Jackson.Bryant@gmail.com,C,M,B
DCA7BC89-F718-E84E-1AF4-2A6907329E02,Oscar,Sheppard,Oscar.Sheppard@gmail.com,A,M,B
AFAF42D5-9B8B-43AC-371D-917BE7DDC237,Garrett,Hooper,Garrett.Hooper@gmail.com,B,M,C
5C840816-C2A6-1B1E-E3F3-B49687C6C502,Kyle,Sims,Kyle.Sims@gmail.com,C,M,A
4FE352C7-36A5-5913-7B5C-29CBC0530704,David,Cash,David.Cash@gmail.com,A,M,B
BDCDE5AF-D225-8904-7D4F-1B6E3E913C38,Dalton,Mccarty,Dalton.Mccarty@gmail.com,B,M,A
2A9C457C-91F0-A3AF-7B4A-33C13BE64DF3,Kyle,Estes,Kyle.Estes@gmail.com,C,M,A
489A6CF9-804A-7768-6206-1BFDD15632A9,Cain,Benton,Cain.Benton@gmail.com,A,M,B
4088F701-6C48-270E-6CB2-E9CA3EA87153,Elmo,Charles,Elmo.Charles@gmail.com,B,M,A
C2561B5A-8973-A0CD-53AA-CE868E8D243B,Mark,Nieves,Mark.Nieves@gmail.com,C,M,B
E99801B3-57DE-228D-60FE-F5E7A9121E18,Alec,Lane,Alec.Lane@gmail.com,A,M,C
734A9F03-86D2-0C0B-22A7-608D23AD5C6D,Ira,Bolton,Ira.Bolton@gmail.com,B,M,A
E0946E21-F2C5-0A51-6B5F-BBC9612E1E0A,Leonard,Wade,Leonard.Wade@gmail.com,C,M,D
6C98FE3D-E9FF-E186-AA26-E0F9D6707A07,Paul,Lynch,Paul.Lynch@gmail.com,A,M,D
474CB707-1603-319D-E59B-FFCA895A427F,Beau,Manning,Beau.Manning@gmail.com,B,M,C
239C22FA-E7F2-F52D-20B1-F11D67F26001,Vernon,Justice,Vernon.Justice@gmail.com,C,M,D
A9EDCF52-3952-DD24-692D-D3BEF7201815,Amos,Jimenez,Amos.Jimenez@gmail.com,A,M,B
ED88D520-0B82-A329-9739-58BBB9153C5F,Vaughan,Velazquez,Vaughan.Velazquez@gmail.com,B,M,D
6C739C58-831C-EE43-8DA8-46F43035267D,Wallace,Steele,Wallace.Steele@gmail.com,C,M,D
2179E173-0754-C2DC-DC79-924775C46810,Brian,Jackson,Brian.Jackson@gmail.com,A,M,B
0298BC0F-B76A-A7F1-A90F-B74DB64714F1,George,Carrillo,George.Carrillo@gmail.com,B,M,B
B1CC43B3-8256-D717-3A31-2147EC772F75,Yoshio,Day,Yoshio.Day@gmail.com,C,M,C
0C935292-86DC-9983-5955-BDA7B542DF50,Flynn,Gilmore,Flynn.Gilmore@gmail.com,A,M,D
DF34324B-B9AA-A89B-1E2B-B082D98DCE88,Benjamin,Ross,Benjamin.Ross@gmail.com,B,M,B
F6AC414D-3C56-BF83-8A07-F2458B2106DC,Brian,Bender,Brian.Bender@gmail.com,C,M,D
5A29DF86-29B4-D190-B34F-63E5CB547D3F,Ali,Head,Ali.Head@gmail.com,A,M,A
3C972A07-F692-084D-0228-AFE56240FAFD,Alec,Long,Alec.Long@gmail.com,B,M,A
2724EBC7-1EE5-D4C8-1153-809C9A9DF119,Tarik,Franco,Tarik.Franco@gmail.com,C,M,B
DDAE3E9B-92F1-4F05-66D7-105AE73F65FE,Hayden,Burnett,Hayden.Burnett@gmail.com,A,M,C
0FDD6E28-D76C-1D8A-CB6D-5BAE2CC35871,Arthur,Francis,Arthur.Francis@gmail.com,B,M,D
44993DD6-3D09-A30F-2E8B-7C4749281F9C,Calvin,Kirby,Calvin.Kirby@gmail.com,C,M,B
E7A65175-0578-FE53-A4B9-6C4109870176,Roth,Rosales,Roth.Rosales@gmail.com,A,M,C
DA04D4BB-4DCB-133F-DBAD-2FDBDEC9DA65,Damon,Little,Damon.Little@gmail.com,B,M,B
B73F6EA0-440C-07EE-2955-B99327688CFB,Clinton,Finley,Clinton.Finley@gmail.com,C,M,A
302D11A1-82BC-6B31-7C17-D686474FBD4B,Honorato,Tyson,Honorato.Tyson@gmail.com,A,M,B
5506F3A1-E49C-A394-DAF9-EAC07B6C2C0F,Ishmael,Rivera,Ishmael.Rivera@gmail.com,B,M,B
DA4C935A-34BB-FC4D-5E67-510C5D42A976,Rahim,Shields,Rahim.Shields@gmail.com,C,M,D
BA8E71DB-4C2F-A9FE-C1C3-713B55D74A3C,Quentin,Lynn,Quentin.Lynn@gmail.com,A,M,C
95DD3522-84C2-DAF5-76F5-6DCE09CC0C7A,Jermaine,Vaughn,Jermaine.Vaughn@gmail.com,B,M,C
D35D8E80-EC83-FAD8-29BE-3A3A3078E005,Acton,Patton,Acton.Patton@gmail.com,C,M,D
39CEA221-5FE4-9489-48CE-20EAFC15A33E,Talon,Pitts,Talon.Pitts@gmail.com,A,M,A
54149B41-0B61-5DF0-A9AE-BCA11DCB4C0B,Driscoll,Yates,Driscoll.Yates@gmail.com,B,M,B
3298F313-7A0E-AEBE-5F6A-9E4F5E01E394,Marshall,Chandler,Marshall.Chandler@gmail.com,C,M,D
3A7F2549-64BA-5A53-59B4-E71CC4DFBD3B,Sebastian,Hoffman,Sebastian.Hoffman@gmail.com,A,M,B
D5F1AD9B-08FA-F85E-9CA7-D409681431DA,Clinton,Medina,Clinton.Medina@gmail.com,B,M,B
